episode,venue,kind,symbol,day,url,local_path,status,http_status,bytes
march_vol_2024_binance,binance,trades,BTCUSDT,2024-03-12,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2024-03-12.zip,data/processed/orderbook/march_vol_2024_binance/binance/trades/BTCUSDT-trades-2024-03-12.zip,skipped_existing,200,57407912
march_vol_2024_binance,binance,bookDepth,BTCUSDT,2024-03-12,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2024-03-12.zip,data/processed/orderbook/march_vol_2024_binance/binance/bookDepth/BTCUSDT-bookDepth-2024-03-12.zip,skipped_existing,200,479519
march_vol_2024_binance,binance,trades,BTCUSDT,2024-03-13,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2024-03-13.zip,data/processed/orderbook/march_vol_2024_binance/binance/trades/BTCUSDT-trades-2024-03-13.zip,skipped_existing,200,37675950
march_vol_2024_binance,binance,bookDepth,BTCUSDT,2024-03-13,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2024-03-13.zip,data/processed/orderbook/march_vol_2024_binance/binance/bookDepth/BTCUSDT-bookDepth-2024-03-13.zip,skipped_existing,200,472214
yen_unwind_2024_binance,binance,trades,BTCUSDC,2024-08-05,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDC/BTCUSDC-trades-2024-08-05.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/trades/BTCUSDC-trades-2024-08-05.zip,skipped_existing,200,22543905
yen_unwind_2024_binance,binance,bookDepth,BTCUSDC,2024-08-05,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDC/BTCUSDC-bookDepth-2024-08-05.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/bookDepth/BTCUSDC-bookDepth-2024-08-05.zip,skipped_existing,200,440740
yen_unwind_2024_binance,binance,trades,BTCUSDC,2024-08-06,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDC/BTCUSDC-trades-2024-08-06.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/trades/BTCUSDC-trades-2024-08-06.zip,skipped_existing,200,7414409
yen_unwind_2024_binance,binance,bookDepth,BTCUSDC,2024-08-06,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDC/BTCUSDC-bookDepth-2024-08-06.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/bookDepth/BTCUSDC-bookDepth-2024-08-06.zip,skipped_existing,200,434754
yen_unwind_2024_binance,binance,trades,BTCUSDT,2024-08-05,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2024-08-05.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/trades/BTCUSDT-trades-2024-08-05.zip,skipped_existing,200,132827804
yen_unwind_2024_binance,binance,bookDepth,BTCUSDT,2024-08-05,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2024-08-05.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/bookDepth/BTCUSDT-bookDepth-2024-08-05.zip,skipped_existing,200,481577
yen_unwind_2024_binance,binance,trades,BTCUSDT,2024-08-06,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2024-08-06.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/trades/BTCUSDT-trades-2024-08-06.zip,skipped_existing,200,54579841
yen_unwind_2024_binance,binance,bookDepth,BTCUSDT,2024-08-06,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2024-08-06.zip,data/processed/orderbook/yen_unwind_2024_binance/binance/bookDepth/BTCUSDT-bookDepth-2024-08-06.zip,skipped_existing,200,479005
yen_followthrough_2024_binance,binance,trades,BTCUSDC,2024-08-07,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDC/BTCUSDC-trades-2024-08-07.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/trades/BTCUSDC-trades-2024-08-07.zip,skipped_existing,200,5686667
yen_followthrough_2024_binance,binance,bookDepth,BTCUSDC,2024-08-07,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDC/BTCUSDC-bookDepth-2024-08-07.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/bookDepth/BTCUSDC-bookDepth-2024-08-07.zip,skipped_existing,200,435190
yen_followthrough_2024_binance,binance,trades,BTCUSDC,2024-08-08,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDC/BTCUSDC-trades-2024-08-08.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/trades/BTCUSDC-trades-2024-08-08.zip,skipped_existing,200,6679227
yen_followthrough_2024_binance,binance,bookDepth,BTCUSDC,2024-08-08,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDC/BTCUSDC-bookDepth-2024-08-08.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/bookDepth/BTCUSDC-bookDepth-2024-08-08.zip,skipped_existing,200,435571
yen_followthrough_2024_binance,binance,trades,BTCUSDT,2024-08-07,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2024-08-07.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/trades/BTCUSDT-trades-2024-08-07.zip,skipped_existing,200,43977479
yen_followthrough_2024_binance,binance,bookDepth,BTCUSDT,2024-08-07,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2024-08-07.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/bookDepth/BTCUSDT-bookDepth-2024-08-07.zip,skipped_existing,200,478530
yen_followthrough_2024_binance,binance,trades,BTCUSDT,2024-08-08,https://data.binance.vision/data/futures/um/daily/trades/BTCUSDT/BTCUSDT-trades-2024-08-08.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/trades/BTCUSDT-trades-2024-08-08.zip,skipped_existing,200,52193263
yen_followthrough_2024_binance,binance,bookDepth,BTCUSDT,2024-08-08,https://data.binance.vision/data/futures/um/daily/bookDepth/BTCUSDT/BTCUSDT-bookDepth-2024-08-08.zip,data/processed/orderbook/yen_followthrough_2024_binance/binance/bookDepth/BTCUSDT-bookDepth-2024-08-08.zip,skipped_existing,200,472999
